id_avis, comment
1,"Ce groupe est incroyable en live !"
2,"J''adore leur dernier album."
3,"Le chanteur a une voix puissante."
4,"Excellent morceau !"
5,"J''aime beaucoup cette chanson."
6,"Le rythme est entraînant."
7,"Le concert était époustouflant !"
8,"Les artistes ont donné une performance exceptionnelle."
9,"J''ai passé une soirée inoubliable lors de ce concert."
10,"La salle de concert offre une excellente acoustique."
11,"J''ai assisté à un concert mémorable dans ce lieu."
12,"L''ambiance du lieu est parfaite pour des concerts."
