id_concert,nom_concert,date_concert,heure_concert,prix,places_dispos,description,salle,genre
1,"Pop Stars Live",2023-06-10,20:00:00,25,1000,"Concert de musique pop en direct avec les stars du moment",31,1
2,"Festival Rock en Scène",2023-07-15,18:00:00,35,5000,"Festival de musique rock en plein air",33,2
3,"Les Plus Belles Voix",2023-08-20,19:30:00,20,750,"Concert de chant avec les plus belles voix de la région",36,3
4,"Musique Expérimentale Live",2023-09-05,21:00:00,15,200,"Concert de musique expérimentale en direct",36,4
5,"Jazz Nights",2023-10-12,22:00:00,30,500,"Soirée de jazz avec les meilleurs musiciens de la région",40,5
6,"Concerto pour Piano n°2",2023-11-18,20:30:00,40,300,"Concert de musique classique avec un concerto pour piano n°2",37,6
7,"Nuit Romantique",2023-12-24,23:00:00,50,200,"Soirée de musique romantique pour une nuit inoubliable",39,7
8,"Electro Party",2024-01-06,22:00:00,25,1000,"Soirée de musique électronique avec les meilleurs DJs du moment",35,8
9,"Funky Groove",2024-02-14,21:00:00,20,500,"Soirée de funk avec les meilleurs groupes de la région",35,14
10,"Rock Legends",2023-04-15,19:00:00,30,800,"Concert de rock avec les légendes du genre",33,2
11,"Soulful Vibes",2023-03-20,21:30:00,15,400,"Soirée de musique soul avec des vibrations envoûtantes",40,11
12,"Symphony Night",2023-02-28,20:15:00,40,600,"Concert symphonique avec un programme classique",37,6
13,"Blues Jam Session",2023-01-10,22:00:00,20,300,"Soirée de blues avec des sessions improvisées",38,10
14,"Latin Rhythms",2022-12-05,19:30:00,25,500,"Soirée de musique latine avec des rythmes entraînants",35,8
