id,nom_association,date_creation
21,Association des Fans de Jazz,2018-02-12
22,Association des Amateurs de Musique Classique,2019-11-25
23,Association des Batteurs du Quartier,2020-09-05
24,Association des Choristes Amateurs,2022-01-18
25,Association des Compositeurs Indépendants,2022-03-29
26,Association des DJs de la Ville,2021-08-02
27,Association des Fans de Metal Progressif,2020-06-11
28,Association des Guitaristes du Quartier,2019-04-17
29,Association des Bassistes de la Région,2021-01-08
30,Association des Pianistes en Herbe,2022-04-22
