id,nom_salle,adresse,date_creation
31,"La Grande Salle","1 rue des Artistes 75001 Paris", "2019-05-15"
32,"Le Cactus Club","23 rue de la Roche 69002 Lyon", "2020-09-21"
33,"Le Chat Noir","10 avenue des Arts 13008 Marseille", "2018-03-11"
34,"Le Théâtre des Bouffes","5 rue de la Paix 06000 Nice", "2021-02-28"
35,"Le Warehouse","15 rue de la Soif 44000 Nantes", "2022-04-02"
36,"L\'Arena","3 boulevard du Rock 31000 Toulouse", "2020-11-11"
37,"Le Hangar","8 avenue du Métal 67000 Strasbourg", "2019-08-22"
38,"Le Petit Salon","7 rue de la Musique 59000 Lille", "2022-01-14"
39,"La Boîte à Rythmes","13 avenue du Flow 69003 Lyon", "2018-06-27"
40,"Le Café Blues","2 rue du Delta 75009 Paris", "2021-05-19"
